date,date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
2020-09-21,2020-09-21,2906.5,2960.47,2962.0,2871.0,6117925,2906.5,2960.47,2962.0,2871.0,6117925,0.0,0.0,Sep 21,0.0
2020-09-22,2020-09-22,3033.84,3128.99,3133.99,3000.2,6948816,3033.84,3128.99,3133.99,3000.2,6948816,168.52,5.6923,Sep 22,0.056922999999999994
2020-09-23,2020-09-23,3120.43,2999.86,3127.0,2992.38,5652665,3120.43,2999.86,3127.0,2992.38,5652665,-129.13,-4.1269,Sep 23,0.013304999999999999
2020-09-24,2020-09-24,2977.79,3019.79,3069.3,2965.0,5529392,2977.79,3019.79,3069.3,2965.0,5529392,19.93,0.6644,Sep 24,0.020037
2020-09-25,2020-09-25,3054.86,3095.13,3101.54,2999.0,4615202,3054.86,3095.13,3101.54,2999.0,4615202,75.34,2.4949,Sep 25,0.045486
2020-09-28,2020-09-28,3148.85,3174.05,3175.04,3117.17,4224165,3148.85,3174.05,3175.04,3117.17,4224165,78.92,2.5498000000000003,Sep 28,0.072144
2020-09-29,2020-09-29,3175.39,3144.88,3188.26,3132.54,3503398,3175.39,3144.88,3188.26,3132.54,3503398,-29.17,-0.919,Sep 29,0.062291
2020-09-30,2020-09-30,3141.14,3148.73,3212.88,3133.99,4896101,3141.14,3148.73,3212.88,3133.99,4896101,3.85,0.12240000000000001,Sep 30,0.063591
2020-10-01,2020-10-01,3208.0,3221.26,3224.0,3172.0,4971922,3208.0,3221.26,3224.0,3172.0,4971922,72.53,2.3035,Oct 1,0.088091
2020-10-02,2020-10-02,3153.63,3125.0,3195.8,3123.0,5613098,3153.63,3125.0,3195.8,3123.0,5613098,-96.26,-2.9883,Oct 2,0.055576
2020-10-05,2020-10-05,3145.84,3199.2,3202.53,3140.85,3775332,3145.84,3199.2,3202.53,3140.85,3775332,74.2,2.3744,Oct 5,0.080639
2020-10-06,2020-10-06,3165.0,3099.96,3182.0,3090.0,5086857,3165.0,3099.96,3182.0,3090.0,5086857,-99.24,-3.102,Oct 6,0.047118
2020-10-07,2020-10-07,3135.0,3195.69,3200.0,3132.39,4309439,3135.0,3195.69,3200.0,3132.39,4309439,95.73,3.0881,Oct 7,0.079454
2020-10-08,2020-10-08,3224.99,3190.55,3233.29,3174.99,3174114,3224.99,3190.55,3233.29,3174.99,3174114,-5.14,-0.1608,Oct 8,0.077717
2020-10-09,2020-10-09,3210.0,3286.65,3288.99,3197.83,4907871,3210.0,3286.65,3288.99,3197.83,4907871,96.1,3.012,Oct 9,0.110178
2020-10-12,2020-10-12,3349.94,3442.93,3496.24,3339.55,8364198,3349.94,3442.93,3496.24,3339.55,8364198,156.28,4.755,Oct 12,0.162967
2020-10-13,2020-10-13,3467.99,3443.63,3492.38,3424.22,5744697,3467.99,3443.63,3492.38,3424.22,5744697,0.7000000000000001,0.020300000000000002,Oct 13,0.163204
2020-10-14,2020-10-14,3447.0,3363.71,3464.88,3340.0,5828916,3447.0,3363.71,3464.88,3340.0,5828916,-79.92,-2.3208,Oct 14,0.136208
2020-10-15,2020-10-15,3292.01,3338.65,3355.88,3280.0,5223448,3292.01,3338.65,3355.88,3280.0,5223448,-25.06,-0.745,Oct 15,0.127743
2020-10-16,2020-10-16,3363.23,3272.71,3399.66,3160.0,6474353,3363.23,3272.71,3399.66,3160.0,6474353,-65.94,-1.975,Oct 16,0.10547000000000001
2020-10-19,2020-10-19,3299.61,3207.21,3329.0,3192.74,5223626,3299.61,3207.21,3329.0,3192.74,5223626,-65.5,-2.0014,Oct 19,0.083345
2020-10-20,2020-10-20,3222.28,3217.01,3266.0,3192.01,4509678,3222.28,3217.01,3266.0,3192.01,4509678,9.8,0.30560000000000004,Oct 20,0.086655
2020-10-21,2020-10-21,3212.5,3184.94,3233.88,3160.0,4592736,3212.5,3184.94,3233.88,3160.0,4592736,-32.070000000000164,-1.01,Oct 21,0.0
